tweet_id	tweet_date	tweet_text
836950521567137793	2017-03-01 14:45:28	"At #HRC34 side-event ""#HumanRights based approach to #SDGs &amp; #ParisAgreement"" Amb Khan @FijiGeneva said #Climate justice=priority for #COP23 https://t.co/hYdDEOygOl"
836950521416122369	2017-03-01 14:45:28	@1worldhub would be great Christine, can you send it to stephanie@developmentperspectives . #SdGs
836950509588201472	2017-03-01 14:45:25	To my Gambia friends make a date for this amazing event on 8th March as we mark the #womensday2017 Via @SafeHands4Girls #SDGs @Ms_Saine https://t.co/ZRnzc1piqS
836950501384151042	2017-03-01 14:45:23	White roofs are SO cool!! This is the low-hanging fruit when it comes to sustainable cities. Lower temps save lives! @c40cities #Climate https://t.co/109NuUhDIT
836950495625363457	2017-03-01 14:45:22	There is evidence of unequal distribution of the economic benefits of globalisation - it hasn't delivered for everyone #GFI4SD #SDGs
836950487526227968	2017-03-01 14:45:20	Day 2 of @UNECOSOC OAD segment: What will it take to develop a real common back office at @UN system &amp; UN entity level? #2030Agenda #SDGs
836950486330802180	2017-03-01 14:45:20	Our first #2030HiveMind newsflash #SDGs - bad news on health, shelter for women, marine life #GFI4SD https://t.co/0fjnj8qUbN
836950485475065860	2017-03-01 14:45:20	A revolution is required in the way we think about international development if we are to meet the #SDGs! It's happening now at #GFI4SD https://t.co/poqBtKZL27
836950476457410564	2017-03-01 14:45:18	"""Timberland is walking a mile in the shoes of people whose lives are affected by trash pollution-at least, the ""first mile"" #sustainability https://t.co/iXIb71Gogq"
836950475261915136	2017-03-01 14:45:17	#GentleDensity isn't just about #climatechange &amp; #carbonfootprint - it's about housing choice, aging in place, diverse neighbourhoods etc...
836950472850345984	2017-03-01 14:45:17	Really enjoyed launching #Coalition2030 w these vibrant young ppl,our 'transition generation' who are central to Irl's transformation #SDGs https://t.co/ILNOf2wNae
836950471411712000	2017-03-01 14:45:16	Promoting #GlobalHealth &amp; #SDGs at #GFI4SD Thanks to @17Ziele - Follow livestream on #Globalisation now: https://t.co/wztfSzQ3Gp https://t.co/XUlEtdpp8F
836950470589558785	2017-03-01 14:45:16	Seven Billion Dreams. One Planet. Consume with Care. #UNEP #Earth #Environment https://t.co/I3Scmu11yC
836950463115317249	2017-03-01 14:45:14	Great to see the arts and aesthetics featured in the #Coalition2030 launch today. #wonderful #SDGs #involveyouth https://t.co/nYOEF6bQfW
836950458619084801	2017-03-01 14:45:13	The IPU SDG’S toolkits helps #MPs identify measures on how to effectively institutionalize #SDGs. https://t.co/ucxvEqXzTq https://t.co/UXpwIEZDdU
836950454001152000	2017-03-01 14:45:12	Style-Lead don't Follow #recycledfashion https://t.co/uSkC5vTJ1K #CocaCola #sustainability #ecofashion #flowers https://t.co/EXpPOQkF5U
836950452457590785	2017-03-01 14:45:12	Often how people perceive their own lives reflects their reality. Important to listen to individuals on what they think #GFI4SD #SDGs
836950449857179648	2017-03-01 14:45:11	#Sustainability superhero? UK meat alternative uses #food #waste https://t.co/5VkzLiFGFo vía @FoodNavigator #ZeroWaste
836950447269228544	2017-03-01 14:45:11	Healthy #wetlands provide #cleanwater, excellent habitat for fish &amp; #wildlife and even help fight #climatechange. #KeepItWild #OurWild https://t.co/PMk5onaMPr
836950445000114177	2017-03-01 14:45:10	Half the carbon footprint of comparable, conventional ranges, a #Miinus Eco Logic #kitchen is great the #environment #wirral 0151 691 4924 https://t.co/prTXr6J4AR
836950441044889600	2017-03-01 14:45:09	@iamsaharagroup congratulations to all partners for leading the #PSAG &amp; #SDGs in Nigerian https://t.co/4fG8iq9ROR
836950435512610817	2017-03-01 14:45:08	With current #climate pledges, the world will experience a 2.9-3.4°C temperature increase. This is an emergency. Need leadership. #cdnpoli https://t.co/Rh5ZSZsdzQ
836950432626913280	2017-03-01 14:45:07	Globalisation has benefitted many by lifting them out of poverty. However, the benefits are still unequal #GFI4SD #SDGs
836950409658970114	2017-03-01 14:45:02	IN PRAISE OF CREATIVITY https://t.co/two0g3vDtM #creativity #civilization #globalfuture #climatechange #environment #humandevelopment https://t.co/WguqaqYmTj
836950409159684096	2017-03-01 14:45:01	17 Goals - 17 #SDGAdvocates highlighting the #SDGs. Read more: https://t.co/SZV9c0q9qd #GlobalGoals #InclusionMatters #EndPoverty https://t.co/GC8vbX7QY5
836950407486263297	2017-03-01 14:45:01	Infrastructure has to be resilient. #JointSession #JointCongress #ClimateChange https://t.co/44cWrakfMy
836950403698716672	2017-03-01 14:45:00	We can't advance #SDGs w/out ensuring rights to every girl child and tapping into her potential, says @ABAlbrectsen of @planglobal #GFI4SD https://t.co/sfDVMiutRA
836950403442962432	2017-03-01 14:45:00	Surprise, they're not credible. #climatechange https://t.co/2TgNkHYMHM
836950393271771136	2017-03-01 14:44:58	Join @JoleneBrownCSP &amp; me on livestream at https://t.co/T2jQGZrwzs today at 5:45 pm ET to talk family #farms &amp; #sustainability. #agchat https://t.co/cmx9LahfI9
836950391015243776	2017-03-01 14:44:57	Surprise, they're not credible. #climatechange https://t.co/2TgNkHYMHM
836950389706657792	2017-03-01 14:44:57	I don't consider #deportation #environment #WHITEsupremacist #borderwall #healthcare to be trivial issues. https://t.co/zJXgCroIsE
836950384711172096	2017-03-01 14:44:56	Q: imagine a ladder from 0 to 10 (best possible life). Where do you see yourself? Reveals how people perceive their own lives #GFI4SD #SDGs
836950371868291074	2017-03-01 14:44:53	If you have a #P3 or #collaboration story, we want to hear it! Tweet at us and lets connect! #GPW2017 #SDGs #SDGPartnerships #storytelling
836950363727138816	2017-03-01 14:44:51	https://t.co/9rbsJeTDke Making #waste a thing of the past #sdgs #sdg12
836950356370276357	2017-03-01 14:44:49	In 2017 zero #humans congratulated me on #InternationalPolarBearDay. I promise to get 100 times more likes in 2018 for #climatechange!
836950341438484481	2017-03-01 14:44:45	#UNDESAVoice is out! Get latest info on #UN48SC #IntlForestDay #Youth2030 #SaveOurOcean #SDGs &amp; more! https://t.co/faLSKuS3FE #UNDESA70 https://t.co/8pc3Aq2niM
836950335658704898	2017-03-01 14:44:44	"https://t.co/6QtBWXIIdS Tucker Carlson Attacks Bill Nye As A ""Bully"" During Interview On Climate Change #climate #ignorance #extremism"
836950321779867648	2017-03-01 14:44:41	#zerodiscrimination for people who use #drugs and people in prisons: #HIV services for All. #Humanrights #EndAIDS #LeavingNoOneBehind #SDGs https://t.co/p8FpvEEKfa
836950315198926848	2017-03-01 14:44:39	Calling all #Santos shareholders! Use your vote to force Santos to disclose its #climate risks. Sign up: https://t.co/NblVsAq4O9 #pilliga https://t.co/cRCCqd9W4F
836950311688351745	2017-03-01 14:44:38	H.M. Queen Máxima of The Netherlands &amp; @UNSGSA discuss how #MobileMoney has been instrumental for financial inclusion #SDGs @GSMAmmu https://t.co/FL2AYg5T1V
836950305472393216	2017-03-01 14:44:37	Proud to be members #proudlynorfolk #nfad17 #buylocal #sustainability @FoodFestNorfolk https://t.co/N9CbyihLtW
836950304243527681	2017-03-01 14:44:36	You can take a BIG stand against #ClimateChange by making the choice to #GoVegan 🌍 https://t.co/G2omY8NtHf https://t.co/FMufsrCinV
836950293103271936	2017-03-01 14:44:34	The tree of #SDGs! Participants get creative when it comes to overcoming politics &amp; policy trade-offs @GlobalFestIdeas #GFI4SD #globalgoals https://t.co/N7RYDQ5fN4
836950292130328577	2017-03-01 14:44:34	Anne-Birgitte Albrectsen @PlanGlobal @PlanGermany inspirational speech about moving he needle for girls to reach the #SDGs #GFI4SD https://t.co/ISrkY5gTim
836950272245186561	2017-03-01 14:44:29	GREAT #CLIMATE MEME! Being the last person denying #climatechange DOESN'T make you Galileo - It makes you WRONG. @sindicatum @SaleemulHuq https://t.co/FlHHLwQMJK
836950247452606466	2017-03-01 14:44:23	what on earth are we breathing https://t.co/Idi0jloM3q .#OpChemtrails #Environment
836950246043308033	2017-03-01 14:44:23	so what does solar radiation management look like exactly? https://t.co/j5W6DRyT76 .#OpChemtrails #Environment
836950220659376131	2017-03-01 14:44:17	We can't advance #SDGs w/out ensuring rights to every girl child and tapping into her potential, says @ABAlbrectsen of @planglobal #GFI4SD https://t.co/sfDVMiutRA
836950200472199168	2017-03-01 14:44:12	Using #data to target measures to address #freight #emissions - Andrew Traill @Catapult_UK @TSCatapult #fitcevent #transport #climatechange https://t.co/S24p1Jd6SA
836950183493656576	2017-03-01 14:44:08	Once you have experienced driving an electric powered car gasoline powered cars will not satisfy you. #solar #environment
836950151868493824	2017-03-01 14:44:00	Hands up for #GenderEquality! #YouthCSW61 we are all about inclusion @UNWOMEN4Youth #abilityvsdisability #CRPD #CelebratingDiversity #SDGs https://t.co/XqYWKDSiSk
836950148722872320	2017-03-01 14:43:59	1st lecture in the #CCLS17 series given @bryworthington #Climatechange - A Race Between #Physics and #Politics https://t.co/XBpEMtzxnW
836950148676730880	2017-03-01 14:43:59	1st lecture in the #CCLS17 series given @bryworthington #Climatechange - A Race Between #Physics and #Politics https://t.co/giUiqxQC59
836950148144070656	2017-03-01 14:43:59	1st lecture in the #CCLS17 series given @bryworthington #Climatechange - A Race Between #Physics and #Politics https://t.co/U5mnAh0snN
836950143731712000	2017-03-01 14:43:58	RT While many of us ❤ these creatures, #PolarBears face many threats today from #ClimateChange to toxic #pollution https://t.co/xim5Ly2Wbd https://t.co/y9rDfPYFg3
836950111628451840	2017-03-01 14:43:51	Globalisation has benefitted many by lifting them out of poverty. However, the benefits are still unequal #GFI4SD #SDGs
836950081811132416	2017-03-01 14:43:43	"""This will be better with your input."" Looking forward to discussing. #michigantech is 1 of 7 satellite locations #NCA4 #climatechange https://t.co/Tlb0V31WsN"
