,social_issues,politics_and_renewables,progressive_politics,food_agriculture,political_ecology,radical_chic,sustainable_industry
836949891393933312,0.00043587352223168485,0.00015917127966306798,0.00011141987132726872,0.00012235344450019803,0.00015641395789053915,0.00015203430522714,0.002566852855839017
836949898792611840,0.00043587352223168485,0.00015917127966306798,0.00011141987132726872,0.00012235344450019803,0.00015641395789053915,0.00015203430522714,0.002566852855839017
836949984234852353,0.0013555569136456233,0.004197730361713902,0.0013657850429130405,0.002112806160619386,0.003907828931266906,0.002766140307152954,0.008747833892828068
836950062123085824,0.00034562543213786717,0.0010703847843319837,0.00034822949856519046,0.0005387295983843565,0.000996443584418943,0.0007053284293711628,0.002230642914682355
836950081811132416,0.00931972684362164,0.0002298434485868668,0.00028865984859766927,0.00010134284211511178,0.00031790038643293543,0.0007263362867630387,0.00024562475709164475
836950111628451840,0.0026405746109552258,6.511766814869905e-05,8.17760856550892e-05,2.8708302566217733e-05,9.005784227086141e-05,0.0002057870876078429,6.95847399477861e-05
836950143731712000,0.00044744195566113684,0.001147537417681917,0.0016041404939723283,0.0007940433935632698,0.0008152551577334649,0.0004188152528138413,0.0008824436200111096
836950148144070656,0.0001267638528698577,0.0003251275680239322,0.0004544950648840739,0.00022497139826400584,0.00023097511442494114,0.00011865577825899338,0.0002500151390605166
836950148676730880,0.0016863224052340068,0.001753149750611638,0.002096662343693065,0.0018559137691763169,0.0026806195123323284,0.00201144921562395,0.0016314477467852012
836950148722872320,0.00041907429249434414,0.001083435839355823,0.0003345965256918113,0.0003373761957432053,0.001056747469473289,0.0006322651315555993,0.0007162558777641609
836950151868493824,0.0004655609820419434,0.0008108007526088943,0.0002730965827389703,7.551670721569741e-05,0.0009877200374245206,0.00017866695437393867,0.0010237229365725451
836950183493656576,0.0001978405511462331,0.00034457285701474305,0.00011604384081889217,3.207987974052277e-05,0.00041975300347433115,7.591605710904942e-05,0.00043506081696614586
836950200472199168,0.0001258901841500932,0.0002273958464568336,0.00010949116434183967,9.847532389625749e-05,3.988328595474617e-05,0.0023965931983214116,0.00024798099160416035
