,sustainable_development,greta,endangered_habitats,innovation,renewable_energy,mixed,developement_goals
1101574442575167489,0.000109305564142887,0.0006695929115288098,0.0001914965429658754,9.021216569965163e-05,0.0005072538806455147,9.381601608126556e-05,0.00032640118523785043
1101574446341607424,6.452419734418892e-05,0.000438866131539243,0.00018170006902548913,0.0001664953829562996,0.001386957494437406,6.204996288531546e-05,6.948753437489886e-05
1101574476297314311,0.0001515009935510502,0.00016166009281796948,0.00015888746396442124,0.0001322624085394583,0.00013953302785574653,9.957557650003106e-05,0.00017416182824536093
1101574488225918976,0.0007874132915690706,0.00028427663875238337,0.0001062347526306181,7.22204911538211e-05,0.0002595531053348072,6.485687211938289e-05,0.00027564922989958373
1101574491430375428,0.00040210778541382774,0.00045550637581451086,0.0005993944045644551,0.0006911163885326986,0.0005101448879923782,0.00033706001096855953,0.0004923201442470934
1101574513450459138,0.00011542577740495878,0.00013006375094101028,0.00017330247619697434,0.00019534762080853057,0.00014426627795776544,9.692936158889613e-05,0.0001387674325956634
1101574525622329344,0.002448329148296962,0.00010384739785618891,9.209065424551281e-05,0.0002653751003535189,0.00022900825789538953,0.00013924130906442031,9.444897858427315e-05
1101574533465681920,0.001042791738421283,4.599664869192049e-05,4.596903350489843e-05,0.00011216275995935149,9.693208404272657e-05,6.083309966179471e-05,3.920521051848695e-05
1101574542147780609,0.0004300682206869688,0.0004900154343319821,0.0004960091456297981,0.00048208113144101663,0.0004900423860726858,0.0008361018485339962,0.00040906762952889217
1101574542261141506,9.211913269936223e-05,0.00010467331532504608,0.00010682102780364723,0.00010215618263465843,0.00010396102541369703,0.00017824805071447626,8.647218310854015e-05
1101574542399627264,9.211913269936223e-05,0.00010467331532504608,0.00010682102780364723,0.00010215618263465843,0.00010396102541369703,0.00017824805071447626,8.647218310854015e-05
1101574546086395906,0.00020580926446242838,0.00032738171352989485,0.00015911897657417353,0.0002906891271887452,0.0001746281335942629,0.0008855461080468762,0.00034954166646711043
1101574581075079168,4.414784631932997e-05,7.013392893618062e-05,3.654331228189933e-05,6.153187226915811e-05,3.703675461386683e-05,0.0001886375379483916,7.385910876591523e-05
1101574584955011078,4.414784631932997e-05,7.013392893618062e-05,3.654331228189933e-05,6.153187226915811e-05,3.703675461386683e-05,0.0001886375379483916,7.385910876591523e-05
1101574591376515072,4.414784631932997e-05,7.013392893618062e-05,3.654331228189933e-05,6.153187226915811e-05,3.703675461386683e-05,0.0001886375379483916,7.385910876591523e-05
1101574619335716865,7.935824469785456e-05,2.2134767361430083e-05,4.243776633733792e-05,1.2321566213345163e-05,1.3437654600880556e-05,4.596915965326078e-05,5.748176549030387e-06
1101574619536994305,0.00011047029350727834,1.7840034121373196e-05,4.769674041883393e-05,2.670447105811185e-05,2.819316387024346e-05,5.787152320402347e-05,1.699075255348993e-05
1101574622041030656,0.0002842186982395482,4.260469976209989e-05,8.332986873620595e-05,6.000415659612481e-05,6.646548088326789e-05,0.00014670385020701442,3.145381076683344e-05
1101574649526272005,0.00020527641896048474,0.0007033897064047331,0.00016775590375612892,0.0005241040890254831,0.0003184079366937249,0.0005940324191030733,0.00023249747090190622
1101574653867225088,0.0032372986670160617,0.0012354312640397555,0.0008218241704214608,0.0012032864671915366,0.0012988267597688766,0.0009287775983526175,0.0013168662648774295
1101574658321596416,0.001382188984600111,0.0011389609450653724,0.0010206557556495931,0.0010997991335991982,0.0011707547471268627,0.0007791299006913184,0.001115634865715005
1101574668920725511,0.0008025533988441017,0.0008122932623116018,0.0006209643523000245,0.0006400188754396666,0.0008196336846269197,0.0004070810862407416,0.0008016881711997937
1101574669889662977,0.000109305564142887,0.0006695929115288098,0.0001914965429658754,9.021216569965163e-05,0.0005072538806455147,9.381601608126556e-05,0.00032640118523785043
1101574670208458752,0.001188027576633302,0.0005721081894896265,0.000441594575190221,0.0007832507651331278,0.0008603380175625221,0.001032078450850847,0.0007296262414045988
1101574683244314624,0.00017018010693403603,8.245022562039221e-05,6.938622193697332e-05,0.00011041402051370233,0.00012154282251672884,0.00014806186771150804,0.00010254595404937986
