,politics_and_renewables,nature,food_agriculture,developement_goals,endangered_habitats,innovation,vegan
969135323551846400,0.0038723818874488686,0.004982950135689901,0.004388046466125888,0.0031035610698525325,0.0037683149859639572,0.003758547932803808,0.004485753465052171
969135326366113792,0.0006543191688804388,0.0031082823664039558,0.0018249955440640445,0.002994698397484545,0.0015303763282587086,0.0005393064972780571,0.0005549140867487492
969135332607307776,0.00037033238079171816,0.0017602769134110671,0.001034071090625647,0.001697772376773093,0.0008660162867068078,0.00030550173325957395,0.00031482852600138043
969135341369208833,0.012098159167925874,0.0030943100246179304,0.005484316590402811,0.004783141354804147,0.002374144614992594,0.003978799061710035,0.003035822203217155
969135362726678528,0.0012709939064053238,0.00032640106243682967,0.0003804910971825355,0.0011800382317499016,0.00022740128078104386,0.001362359802849713,0.000218736070042238
969135403465879552,0.001682301332039158,0.0018075120881447387,0.0013705841286930766,0.002496079051723553,0.004027967754576449,0.0011232003575443268,0.0012114773965718009
969135434612772864,0.0004762269369015306,0.0005117372190414121,0.00038828661715670096,0.0007067782235968544,0.001140799155677952,0.00031787846845362453,0.00034271809074831587
969135463758888961,0.0016932833418971426,0.0020628048272806625,0.004813710381264885,0.0038951850673769454,0.004855251335553773,0.001734448837821298,0.002731158188450153
969135468423057408,0.002682090747557246,0.002064320904977724,0.014853798423962263,0.006846641471746135,0.0019346352804867207,0.003984527580578216,0.0021272905545340654
969135480599015425,0.0030220016699485878,0.004161736945624636,0.003310262354200172,0.00229402409356661,0.001831370011919021,0.002843565892190877,0.0019814636223721856
969135490229264384,0.008575349317742516,0.003874400962493028,0.004758165799399438,0.009320266379450956,0.005646817589989287,0.010787008678461964,0.06267511905181009
969135501079871488,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135510240325632,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135511775399936,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135531543203840,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135533036367872,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135540611137538,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135544587386881,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
969135550669213696,0.0007276506135072738,0.000328296931918808,0.00040436050952374046,0.0007911727037140178,0.00047891241084599753,0.0009158894294182473,0.005325481203545694
