created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Thu Jun 28 20:00:38 +0000 2018,1012425563393445888,"Comedy is one of the most powerful tools to combat gender inequality and toxic ideologies. @unwomenasia will present its work on #ComedyForEquality in NYC tomorrow, ft. videos from @EastIndiaComedy &amp; @cameoproject_ &amp; stand-up from the brilliant @aparnapkin. https://t.co/DJMK3HFwki",True,,,,18,,,,en
Thu Jun 28 19:35:08 +0000 2018,1012419146284437505,"A changing climate affects everyone, but it’s the world’s poorest and those in vulnerable situations, especially women and girls, who bear the brunt of environmental, economic and social shocks. 

Stand up for #ClimateAction ➡️ https://t.co/nHnIsHAX8L https://t.co/bb9Ggp6LBU",True,,,,40,,,,en
Thu Jun 28 19:08:20 +0000 2018,1012412401034186754,"RT @unwomenasia: Regardless of who you are, everyone has the same rights. Are you with us? RT if you agree and join in on the last week of…",False,,,,0,,,,en
Thu Jun 28 19:06:13 +0000 2018,1012411866382061569,"RT @UNICEF: Today a reader. Tomorrow a leader.

This is how we are getting children like 9-year-old Tabark back to school in Iraq. https://…",False,,,,0,,,,en
Thu Jun 28 18:35:00 +0000 2018,1012404012098965504,#TBT to @UN Resolution 1325 adopted in 2000 that paved the way for women to become part of efforts to tackle violent extremism &amp; terrorism. #UNSCR1325 https://t.co/uvfCPbSQra,True,,,,58,,,,en
Thu Jun 28 18:00:16 +0000 2018,1012395271123333121,"We need to ensure that women play a key role in efforts to tackle violent extremism and terrorism. Join @UN Special Adviser on Africa, @UN_CTED, @JapanMissionUN &amp; @GermanyUN for a women’s event to #UNitetoCounterTerror in Africa. More: https://t.co/tBeaBgrEvD https://t.co/NtcDVF0cP2",True,,,,13,,,,en
Thu Jun 28 17:44:42 +0000 2018,1012391354033467395,Do you want to know how women can play a more effective role in preventing and countering terrorism in #Africa? Watch online 📺 https://t.co/DoD3jXw4Pl https://t.co/gk6OJmEeC0,True,,,,20,,,,en
Thu Jun 28 17:12:34 +0000 2018,1012383267440529408,"RT @womenND: @CaringAcrossGen @UN_Women A1 (2/2): To ease the burden, experts suggest we #recognize, #redistribute and #reduce this labor.…",False,,,,0,,,,en
Thu Jun 28 17:12:12 +0000 2018,1012383173911736320,"RT @womenND: @CaringAcrossGen (1/2): Worldwide, women are responsible for 75 percent of all #unpaidcare and #domesticwork. They spend up to…",False,,,,0,,,,en
Thu Jun 28 17:04:38 +0000 2018,1012381268460359681,"RT @UNESCO: Love is Love ❤️

Be proud of who you are

Be proud of who you love

Share the #Pride

Share the Love

🏳️‍🌈 https://t.co/pfcGvmX…",False,,,,0,,,,en
