node_x,node_y,weight,year
1,695,1,2017
1,1042,2,2017
1,2482,1,2017
1,2512,1,2017
1,2526,1,2017
1,2529,1,2017
2,270,1,2017
2,718,1,2017
2,1060,1,2017
2,1389,1,2017
3,664,1,2017
3,2512,1,2017
3,2515,1,2017
7,214,1,2017
7,1091,1,2017
7,1318,1,2017
7,1763,1,2017
7,2512,1,2017
8,255,1,2017
8,449,1,2017
8,1428,1,2017
8,1488,1,2017
8,1584,1,2017
9,16,1,2017
9,89,1,2017
9,197,1,2017
9,553,2,2017
9,597,1,2017
9,767,1,2017
9,961,1,2017
9,998,1,2017
9,1091,1,2017
9,1229,1,2017
9,1265,1,2017
9,1267,1,2017
9,1373,1,2017
9,1441,1,2017
9,1460,2,2017
9,1567,1,2017
9,1592,1,2017
9,1614,1,2017
9,1833,1,2017
9,1841,1,2017
9,2002,1,2017
9,2020,1,2017
9,2034,1,2017
9,2065,2,2017
9,2243,1,2017
9,2315,2,2017
9,2482,1,2017
9,2512,1,2017
9,2529,1,2017
10,2516,1,2017
14,37,1,2017
14,403,1,2017
14,871,1,2017
14,908,1,2017
14,1008,1,2017
14,1217,1,2017
14,1256,1,2017
14,1488,1,2017
14,1892,1,2017
14,2034,1,2017
14,2054,1,2017
14,2221,1,2017
14,2256,1,2017
14,2338,1,2017
14,2443,1,2017
14,2451,1,2017
14,2512,2,2017
15,647,2,2017
15,908,2,2017
15,2201,2,2017
15,2296,2,2017
15,2316,2,2017
16,9,1,2017
16,1042,1,2017
16,1091,1,2017
16,1209,1,2017
16,1267,2,2017
16,1319,1,2017
16,1441,1,2017
16,1890,1,2017
16,2065,1,2017
16,2315,1,2017
16,2482,1,2017
16,2512,1,2017
18,291,1,2017
18,358,1,2017
18,765,1,2017
18,766,1,2017
18,801,1,2017
18,1209,1,2017
18,1614,1,2017
18,1655,1,2017
18,2145,1,2017
18,2258,1,2017
18,2451,1,2017
18,2482,1,2017
20,44,1,2017
20,213,1,2017
20,228,1,2017
20,354,1,2017
20,536,1,2017
20,845,1,2017
20,2145,1,2017
20,2287,1,2017
20,2435,1,2017
20,2529,1,2017
21,31,1,2017
21,37,1,2017
21,91,1,2017
21,138,1,2017
21,146,1,2017
21,165,1,2017
21,234,1,2017
21,638,1,2017
21,682,1,2017
21,709,4,2017
21,748,1,2017
21,765,2,2017
21,879,1,2017
21,916,1,2017
21,961,2,2017
21,963,4,2017
21,974,1,2017
21,1002,1,2017
21,1124,1,2017
21,1125,1,2017
21,1151,1,2017
21,1207,1,2017
21,1236,1,2017
21,1267,1,2017
21,1282,1,2017
21,1372,1,2017
21,1394,1,2017
21,1443,1,2017
21,1539,2,2017
21,1573,1,2017
21,1623,1,2017
21,1630,1,2017
21,1778,1,2017
21,1958,1,2017
21,1983,1,2017
21,1991,1,2017
21,2001,1,2017
21,2002,1,2017
21,2098,1,2017
21,2317,1,2017
