created_at,id,text,retweet_count,favorite_count,original_retweet_count,original_favorite
Tue Jun 12 00:06:07 +0000 2018,1006326744163540992,"Catch every ray of sunshine with #SmartFlower. Join the future of #cleanenergy and find out more at https://t.co/9QY3zyHUtm.

#SolarEnergy #climatechange #RenewableEnergy https://t.co/rHHFOTWpJg",0,0,5.0,17.0
Tue Jun 12 00:06:03 +0000 2018,1006326730292801536,"""Our evidence suggest the benefits of meeting the targets vastly outweigh the costs ""
Nature conservation is part of the solution to #climatechange #naturalclimatesolutions https://t.co/mjDGyyE8Tj",0,0,6.0,4.0
Tue Jun 12 00:05:38 +0000 2018,1006326622608330752,"Every Pakistani Must Share this video !
Here is a very important message for you all from UNDP

#UNDP #Pakistan #Baltoro #Gilgit #ClimateChange #GlobalWarming #Indus #Baltistan https://t.co/9iib5tnB17",0,0,,
Tue Jun 12 00:04:54 +0000 2018,1006326440885870592,The moment when you look into the distance and realise that this industrial clearfell logging goes even further than you thought was possible @DanielAndrewsMP @LilyDAmbrosioMP @timpallas #wecandobetter #climatechange #water #loggingfires https://t.co/ySW2vT8p4h,0,0,98.0,53.0
Tue Jun 12 00:04:53 +0000 2018,1006326434690977792,"🌬 Hurricanes' slowdown means more rain https://t.co/gmBX5t7U9m &amp; potentially more damage, for populated areas

#Science
📚 #Education
#Research
🌪 #Meteorology
#ClimateChange https://t.co/iKvUaY8hP2",0,0,4.0,7.0
Tue Jun 12 00:04:49 +0000 2018,1006326417909432320,"It is estimated that if the world stays on its current greenhouse gas emissions path, rising fine dust levels could increase premature deaths by 130% and triple hospitalizations due to fine dust exposure in this region.

#ActOnClimate #ClimateChange  https://t.co/AsUotTdzXW",0,0,92.0,53.0
Tue Jun 12 00:04:22 +0000 2018,1006326304214380544,"🌬 Hurricanes' slowdown means more rain https://t.co/gmBX5t7U9m &amp; potentially more damage, for populated areas

#Science
📚 #Education
#Research
🌪 #Meteorology
#ClimateChange https://t.co/iKvUaY8hP2",0,0,4.0,7.0
Tue Jun 12 00:04:22 +0000 2018,1006326304160043008,The world's top 10 battles for #environmentaljustice. Together we can ensure #CleanAir &amp; #CleanWater becomes a #HumanRight for everyone. https://t.co/NE8WqH80yf #science via @CosmosMagazine #PlasticPollution #CoalAsh #KeepItInTheGround #ClimateChange #FoodJustice @HipHopCaucus,0,0,42.0,63.0
Tue Jun 12 00:04:14 +0000 2018,1006326270949494791,"Economics, Environment &amp; Social Equity: SustMeme Magazine is out! https://t.co/7cQRuyyN8a Stories via @richardbrophy @jacobcharold @UK_Glaa #esg #climatechange",1,1,,
Tue Jun 12 00:04:13 +0000 2018,1006326266641952768,"World Wakes up to Climate Migration
https://t.co/bKz39VIfR8

https://t.co/LybCj5j9c7

#ClimateRefugees #ClimateChange #ClimateMigration @aiww",3,1,,
Tue Jun 12 00:04:06 +0000 2018,1006326237277638657,"Peatlands &amp; old-growth forest ecosystems store high amounts of carbon and water. To fight the effects of #climatechange, we must protect the remaining primary forests. - @ErikSolheim https://t.co/rp7bqOnZMU",0,0,170.0,276.0
Tue Jun 12 00:03:59 +0000 2018,1006326210442547202,"“… the threat of vast sargassum mats killing wildlife and washing ashore is ‘going to be part of our new reality.’”

https://t.co/J3Tv16D1Ik

#NERR
#climatechange #fertilizer #pollution",0,0,11.0,7.0
Tue Jun 12 00:03:55 +0000 2018,1006326194210471944,"Eye of the Storm
https://t.co/S8LR744oQC

https://t.co/LybCj5j9c7

#ClimateRefugees #Caribbean #ExtremeWeather #ClimateChange @aiww",0,0,,
Tue Jun 12 00:03:55 +0000 2018,1006326193933598722,"Australia's emissions reduction target 'unambitious, irresponsible' -will not meet #ParisAgreement responsibilities by 2030

#auspol #environment #emissions
#Australia #ActOnClimate #climatechange
@GuardianAus
https://t.co/WXRr43ivtr",0,0,2.0,0.0
Tue Jun 12 00:02:58 +0000 2018,1006325952056524800,"“The transition to accessible and clean energy is a duty that we owe towards millions of our brothers and sisters around the world, poorer countries and generations yet to come” - @Pontifex Francis https://t.co/RSzXXlgt7Z #LaudatoSi #ParisAgreement https://t.co/oxZmx9vtuE",0,0,128.0,174.0
Tue Jun 12 00:02:48 +0000 2018,1006325912902782976,Day 12 of #30daysofwild — a barn swallow (Hirundo rustica) taking off from my roof (they nest at my house every year and I witnessed their late arrival..around 2.5-3 weeks late). #ornithology #ecology #climatechange https://t.co/Li0RuCSR2O,0,2,,
Tue Jun 12 00:02:46 +0000 2018,1006325901389324288,The moment when you look into the distance and realise that this industrial clearfell logging goes even further than you thought was possible @DanielAndrewsMP @LilyDAmbrosioMP @timpallas #wecandobetter #climatechange #water #loggingfires https://t.co/ySW2vT8p4h,0,0,98.0,53.0
Tue Jun 12 00:02:21 +0000 2018,1006325799199428608,At the G-7 meeting #Trump refused to meet with world leaders about combating #ClimateChange. Instead he sent Aides to plug Fossil fuel and coal. All of the aides worked for the oil industry. We are in dangerous times. https://t.co/lUoQ4elKPD,0,0,504.0,454.0
Tue Jun 12 00:02:18 +0000 2018,1006325786096201728,"“The transition to accessible and clean energy is a duty that we owe towards millions of our brothers and sisters around the world, poorer countries and generations yet to come” - @Pontifex Francis https://t.co/RSzXXlgt7Z #LaudatoSi #ParisAgreement https://t.co/oxZmx9vtuE",0,0,128.0,174.0
Tue Jun 12 00:02:14 +0000 2018,1006325766626267137,"While Trump indicated his plan to withdraw the U.S. from the #ParisAgreement a year ago, the number of U.S. cities, universities, and businesses that have reaffirmed their commitment to climate action is now in the thousands—and rising. Take action: https://t.co/xq8dhVhBRS https://t.co/8PO1xkGr6D",0,0,119.0,196.0
Tue Jun 12 00:02:12 +0000 2018,1006325758556622849,"“… the threat of vast sargassum mats killing wildlife and washing ashore is ‘going to be part of our new reality.’”

https://t.co/J3Tv16D1Ik

#NERR
#climatechange #fertilizer #pollution",0,0,11.0,7.0
Tue Jun 12 00:01:56 +0000 2018,1006325693288984576,Can corporations be held accountable for their contribution to #ClimateChange? Find out the latest on #ClimateLitigation against #CarbonMajors in new @cla-bhrrc @BHRRC briefing https://t.co/gmYTEhDV7j,0,0,7.0,9.0
Tue Jun 12 00:01:46 +0000 2018,1006325652243480576,At the G-7 meeting #Trump refused to meet with world leaders about combating #ClimateChange. Instead he sent Aides to plug Fossil fuel and coal. All of the aides worked for the oil industry. We are in dangerous times. https://t.co/lUoQ4elKPD,0,0,504.0,454.0
Tue Jun 12 00:01:43 +0000 2018,1006325637299068929,"Shoes that are made from recycled beach plastic
#DreamTheFuture #Sustainability #SDGs #water #climatechange #plasticfree #waste #circulareconomy #Recycle #plasticpollution #shoes #impact @TradomGlobal @SDG2030 @SDGaction @ConnectSDGs @SDGoals @UNDP @UNFCCC https://t.co/eL7LtvgxyE",0,0,14.0,12.0
Tue Jun 12 00:01:41 +0000 2018,1006325628566687745,"Climate change is having a drastic effect on the rainy season in the Azawak of West Africa. These plains were once considered the best pasture land in all of West Africa. #PermanentWaterInsufficiency #Desertification, #ClimateChange https://t.co/M5VYkyFqRc https://t.co/E87B8i3TTl",0,0,1.0,2.0
Tue Jun 12 00:01:04 +0000 2018,1006325474740482048,"Once the $4.5 billion pipeline sale is final, we'll all be liable every time this antiquated piece of junk springs a leak.   https://t.co/KqSw6JlhL5 #StopKM #bcpoli #climatechange #abpoli #cdnpoli",0,0,25.0,31.0
Tue Jun 12 00:00:49 +0000 2018,1006325413189242880,How Do We Know There is Not a Conspiracy? #flatearth #roundearth #climatechange #GlobalWarming #diversityinscience https://t.co/UzZET6VU3j https://t.co/5bBN1IMvSF,0,0,,
Tue Jun 12 00:00:44 +0000 2018,1006325390984581120,"No costly advanced building techniques, electric cars, or other “silver bullet” solutions, Russell’s call for re-invention of entire systems shows remarkable sobriety. #TheGlobalGridReads #BookReview #ClimateChange MT @IslandPress @JamesSRussellny https://t.co/qAluedLqzf",0,2,,
