created_at,id,text,retweet_count,favorite_count,original_retweet_count,original_favorite
Sat Mar 02 09:13:40 +0000 2019,1101772548549869568,"""Greenhouse gases are increasingly disrupting the jet stream, a powerful river of winds that steers weather systems in the Northern Hemisphere.""

""That's causing more frequent summer droughts, floods and wildfires,""

#ClimateChange #ActOnClimate https://t.co/fXXib0UAII",0,0,177.0,118.0
Sat Mar 02 09:13:38 +0000 2019,1101772541025234949,"Cold winds at #climatestrike had me like a 🐢, but convos w/ people passing by, recorded by a journalist that joined me, kept me warm. ☺️ Been a FULL week for @climatestrikeUS! US Youth Climate Strike is growing FAST. Excited to show the 🌎 on March 15 how much US youth care!! https://t.co/ZviTZC3sIA",0,0,232.0,1045.0
Sat Mar 02 09:13:37 +0000 2019,1101772535530696704,"Happening right now in Hamburg: Thousands of young people call out for #ClimateAction on the #FridaysForFuture #climatestrike. 
@GretaThunberg is joining the protest.
@greenpeace_de @Greenpeace @ClimateReality @UNFCCC @Climatepledgeco @ClimateHome @ClimateChance @FridayForFuture https://t.co/NaGIeGUAOH",0,0,853.0,2770.0
Sat Mar 02 09:13:34 +0000 2019,1101772526617792512,"All #animals are beautiful💖
That includes you.💖
All animals need our protection.🦏
That needs you!🤔
The 6th mass extinction &amp; #climatechange are being driven be the meat industry!
Go #vegan🐾🌎💕

@Protect_Wldlife @PeterEgan6 @BellaLack @Animal_Watch @Ivy_Middleton https://t.co/7EugeQNbYv",0,0,106.0,181.0
Sat Mar 02 09:13:33 +0000 2019,1101772521471266816,Congrats @elonmusk You've done it. You've forced the auto industry to go electric. You've disrupted transportation and you've created a way to make a seriously positive impact on the environment. Thanks you for your tireless effort. My kids thank you. $TSLA #climatechange,0,0,908.0,8383.0
Sat Mar 02 09:13:29 +0000 2019,1101772502655815680,"School strike week 28. In Hamburg with @Luisamneubauer 
#climatestrike #fridaysforfuture #schoolstrike4climate https://t.co/XhE3WtVS5D",0,0,969.0,4598.0
Sat Mar 02 09:13:22 +0000 2019,1101772472767127553,My #fridaysforfuture #27 #schoolstrike was in the half term so it was #climatestrike as climate change doesn't stop for the holidays https://t.co/g2czEo92k7,73,408,,
Sat Mar 02 09:13:20 +0000 2019,1101772466970599424,Seas are rising. So are we. #FridayForFuture #SchoolStrike4Climate #Climatestrike https://t.co/kmZIPY7MfH,0,0,89.0,445.0
Sat Mar 02 09:13:20 +0000 2019,1101772464978198530,"These microgrids allow houses to share energy. They've already ""helped one Dutch village become 90% energy self-sufficient"" 

We have the solutions to the #climatecrisis. Let's implement them. #PanelsNotPipelines

#ActOnClimate #climate #energy #cdnpoli #NoTMX #IPCC #COP24 https://t.co/ERJpGmBZPU",0,0,365.0,583.0
Sat Mar 02 09:13:16 +0000 2019,1101772450637897729,"Sometimes we need to hear good news!

“This is an important victory in the fight to protect the rainforest,""

“Other countries should follow Norway's leadership, and adopt similar zero deforestation commitments,""

#ActOnClimate #climatechange https://t.co/zzUeRNpOTB",0,0,199.0,273.0
Sat Mar 02 09:13:15 +0000 2019,1101772446649274369,"To mark the passage of #ClimateStrike Week 28 and that eerie, whistling sound of silence in the ""corridors of power where leaders lurk"" here are a few views of the ""heat map"" of human activity from those concerned about #ClimateBreakdown who won't be fobbed off, ever.

10Y 9M 30D https://t.co/3yf1dc41Pp",0,0,332.0,1002.0
Sat Mar 02 09:13:14 +0000 2019,1101772442496888833,"Kuala Lumpur, Malaysia!!!
🕊🌏✊🏿✊🏾✊🏽✊🏼❤️
#FridaysForFuture 
#SchoolStrike4Climate 
#ClimateStrike
#WhateverItTakes
https://t.co/PLZ3EdoIML",0,0,46.0,217.0
Sat Mar 02 09:13:10 +0000 2019,1101772424406806528,Congrats @elonmusk You've done it. You've forced the auto industry to go electric. You've disrupted transportation and you've created a way to make a seriously positive impact on the environment. Thanks you for your tireless effort. My kids thank you. $TSLA #climatechange,0,0,908.0,8383.0
Sat Mar 02 09:13:09 +0000 2019,1101772419373719552,"Interesting to note not one single member of the TINGE grouping took part in the debate on #climatechange. Even the DUP managed to send someone? Then again given that every single one of the new group voted for Heathrow expansion, maybe not such a surprise
https://t.co/LuxXXt0D08",0,0,1394.0,2936.0
Sat Mar 02 09:13:07 +0000 2019,1101772410188111872,"Just because young people skipped school to highlight the climate crisis, doesn’t mean you can too. 🚫 Please explain your absence from the only parliamentary #climatechange debate in TWO YEARS!? 😲 We’re talking to you👇 #HowDoWeGetYouToCare https://t.co/JEn7dpNbef",0,0,815.0,1623.0
Sat Mar 02 09:13:05 +0000 2019,1101772404936855552,"Earth isnt playing... ever 🌏🌪☀️ 

“..record breaking warm weather” 

days later..

“Storm Freya”

 #GlobalWarming #climatechange https://t.co/hzQKgUJFlh",0,0,,
Sat Mar 02 09:13:04 +0000 2019,1101772397684948992,"BAM! More than 10,000 march out in Hamburg this morning to demand action on #climatechange.

The youth are rising, and they want our future back.

 #ActOnClimate #climate #energy #cdnpoli #ClimateMarch #FridaysForFuture #GreenNewDeal #PanelsNotPipelines with @GretaThunberg https://t.co/44Wvrw0kCE",0,0,798.0,1740.0
Sat Mar 02 09:13:01 +0000 2019,1101772387358572545,The temperature is not rising! Due to cutbacks the thermometer manufacturers are making them shorter. #ClimateChange #GlobalWarming,0,0,,
Sat Mar 02 09:13:00 +0000 2019,1101772380358221824,#WYSIWYG if you don't fight #ClimateChange #FridaysForFuture https://t.co/QcOWn1QoYU,1,1,,
Sat Mar 02 09:13:00 +0000 2019,1101772380047884288,"“The science is clear. Without rapid cuts in CO2 and other greenhouse gases, climate change will have increasingly destructive and irreversible impacts on life on Earth. The window of opportunity for action is almost closed.”

#ActOnClimate #ClimateChange https://t.co/h9E1oeiZgO",0,0,218.0,197.0
Sat Mar 02 09:12:54 +0000 2019,1101772356484247553,"She inspired many of us to take action against climate change and pressure our governments to also  take action instead of just making promises. ✊🌍
#youthforclimate_ke #youthforclimate #GretaThunberg #protest #kenya https://t.co/XhF5Ni4ONc",0,0,184.0,371.0
Sat Mar 02 09:12:47 +0000 2019,1101772326092316672,"We may have caused it, but we also have the power to solve it! #climatechange https://t.co/Ix2FacEegH",0,0,280.0,527.0
Sat Mar 02 09:12:44 +0000 2019,1101772313329106947,"This is 👇 how a parliament looks like when climate change has to be debated. Do you still believe in top-down approaches?

#YouthStrike4Climate #Youth4Climate #ClimateEmergency #climatestrike #ClimateAction #climatechange #Empowerment 
Source: https://t.co/J1wKi7o0h3 https://t.co/4blZciemDe",0,0,1.0,1.0
Sat Mar 02 09:12:39 +0000 2019,1101772294198886400,"@FutureLima @GretaThunberg Lima updated on the #ClimateStrike map!
Thank you!

https://t.co/nxdF3M1UX0

https://t.co/nxdF3M1UX0",0,1,,
Sat Mar 02 09:12:37 +0000 2019,1101772285143384064,Today I've not gone to school. I led a group of primary pupils for #climatestrike #FridaysforFuture in Kampala. I've asked them to join me for the global strike on 15 March. I am still mobilising. I need #ClimateAction now. @GretaThunberg @ExtinctionR @Strike4Youth @DailyMonitor https://t.co/u386ne5xtH,0,0,245.0,880.0
Sat Mar 02 09:12:27 +0000 2019,1101772242365673472,"Just because young people skipped school to highlight the climate crisis, doesn’t mean you can too. 🚫 Please explain your absence from the only parliamentary #climatechange debate in TWO YEARS!? 😲 We’re talking to you👇 #HowDoWeGetYouToCare https://t.co/JEn7dpNbef",0,0,815.0,1623.0
Sat Mar 02 09:12:20 +0000 2019,1101772215333343232,"Yesterday, for the first time in two years, #ClimateChange was debated @UKParliament. A small but significant step towards the urgent and ambitious climate action we need. But more MPs need to acknowledge the urgency and actively engage. #FightForYourWorld
https://t.co/DJ94ErRfYP",0,0,109.0,190.0
Sat Mar 02 09:12:18 +0000 2019,1101772204348461056,"Forget #Brexit - is #ClimateChange the thing that will re-unite us around a common cause, that truly affects us all.

#CTRLshift2019 is coming to #Stoke-on-Trent 8th to 10th May

Will you be with us?

#RenewableEnergy #SOTClulture @SOTCulture @SOTLive @mikeriddell62 @andygoldring https://t.co/PC2rBcHM59",0,0,6.0,4.0
Sat Mar 02 09:12:18 +0000 2019,1101772204214272001,"These microgrids allow houses to share energy. They've already ""helped one Dutch village become 90% energy self-sufficient"" 

We have the solutions to the #climatecrisis. Let's implement them. #PanelsNotPipelines

#ActOnClimate #climate #energy #cdnpoli #NoTMX #IPCC #COP24 https://t.co/ERJpGmBZPU",0,0,365.0,583.0
Sat Mar 02 09:12:17 +0000 2019,1101772201756250112,"A few weeks ago, @jennhsu from the @Gothamist came along for my #ClimateStrike! She made a wonderful video about me and the other new &amp; amazing youth activists here in NYC. I especially love the appearance by my little climate brother @zaynecowie 💚https://t.co/sehEU1BjL8",0,0,47.0,96.0
Sat Mar 02 09:12:15 +0000 2019,1101772194177318912,"Why are traditional lifestyles in the Arctic being threatened by climate change? https://t.co/eIivtE0BwL
#climatechange #climateaction https://t.co/c8Z7kUdCAj",0,0,,
Sat Mar 02 09:12:11 +0000 2019,1101772177022615553,"Interesting to note not one single member of the TINGE grouping took part in the debate on #climatechange. Even the DUP managed to send someone? Then again given that every single one of the new group voted for Heathrow expansion, maybe not such a surprise
https://t.co/LuxXXt0D08",0,0,1394.0,2936.0
Sat Mar 02 09:12:10 +0000 2019,1101772173851660288,"Come do a #PhD with us! Fully funded PhD in arctic (and #alpine!) #microbial #ecology under #ClimateChange, supervised by Lise Øvreås, using our cool #FieldExperiments in #WesternNorway #seedclim @funcab_uib #incline #BetweenTheFjords @UiB https://t.co/kOc96xiLzI",0,0,45.0,28.0
Sat Mar 02 09:12:08 +0000 2019,1101772165630828544,School strike in Hamburg today!! #climatestrike #fridaysforfuture #schoolstrike4climate https://t.co/DmAufZkwY8,0,0,3960.0,15705.0
Sat Mar 02 09:12:00 +0000 2019,1101772131757682689,“Fridays with Scott”: Investment Appetite for Renewable Energy. https://t.co/eyB6rkjFYn #climatechange #climateaction #RenewableEnergy #renewables,0,0,2.0,1.0
Sat Mar 02 09:11:59 +0000 2019,1101772128360255488,"Interesting to note not one single member of the TINGE grouping took part in the debate on #climatechange. Even the DUP managed to send someone? Then again given that every single one of the new group voted for Heathrow expansion, maybe not such a surprise
https://t.co/LuxXXt0D08",0,0,1394.0,2936.0
Sat Mar 02 09:11:59 +0000 2019,1101772126162468865,"""There's a one-in-a-million chance humans are NOT warming the planet."" PLEASE RETWEET @petergleick @commondreams

#CLIMATECHANGE 
#CLIMATECHANGE
#CLIMATECHANGE 
#CLIMATECHANGE
#CLIMATECHANGE 
#CLIMATECHANGE
#CLIMATECHANGE 
#CLIMATECHANGE
#CLIMATECHANGE https://t.co/jUoxLqtAjP",0,0,30.0,34.0
Sat Mar 02 09:11:52 +0000 2019,1101772097624260609,"New Carbon Architecture, a must read by @brucekinggreen. In a world shaken by #climatechange &amp; school students on #climatestrike demanding #ClimateAction we need to rethink. We can store #carbon in our built environment &amp; create the🌍’s 6th #CarbonSink @GretaThunberg @ExtinctionR https://t.co/OUPYK8ytzj",0,0,5.0,6.0
Sat Mar 02 09:11:48 +0000 2019,1101772081237241858,"“The science is clear. Without rapid cuts in CO2 and other greenhouse gases, climate change will have increasingly destructive and irreversible impacts on life on Earth. The window of opportunity for action is almost closed.”

#ActOnClimate #ClimateChange https://t.co/h9E1oeiZgO",0,0,218.0,197.0
Sat Mar 02 09:11:36 +0000 2019,1101772031757086721,"Interesting to note not one single member of the TINGE grouping took part in the debate on #climatechange. Even the DUP managed to send someone? Then again given that every single one of the new group voted for Heathrow expansion, maybe not such a surprise
https://t.co/LuxXXt0D08",0,0,1394.0,2936.0
Sat Mar 02 09:11:31 +0000 2019,1101772008214462464,Our voices are loud &amp; clear. We need #Climateaction now. I was inspired to do more after seeing the energy levels of those who are younger than me. Thank you @GretaThunberg for uniting us against #ClimateChange #FridaysForFuture #climatestrike @AfricaCRP @WeDontHaveTime0 @nemaug https://t.co/7sSJkKF7gj,0,0,438.0,1413.0
Sat Mar 02 09:11:29 +0000 2019,1101772000111063040,"Excited to start a new lecture this term on *open-source energy system modelling* at @tuvienna!

#ipcc #sr15 #energysystems #climatechange #opensource #openscience

https://t.co/86fcf6IOrN https://t.co/SEUPTxADvg",0,0,8.0,31.0
Sat Mar 02 09:11:26 +0000 2019,1101771989545611264,"A new Think Tank Review 💡📒 is out, packed with analysis of academic papers published in February. #EUCOlibrary #TTR #climatechange #brexit #EUROat20",0,0,23.0,53.0
Sat Mar 02 09:11:26 +0000 2019,1101771987729436673,"Whats in the About section of the new #IPCC website? 
General information on the IPCC, its history, structure, scholarship programme and how the IPCC prepares its reports 👉 https://t.co/K9i4HUJmTl

The previous website is here 👉 https://t.co/JI7m9b1gOg
#climatechange https://t.co/PwfLJYq35R",0,0,15.0,29.0
Sat Mar 02 09:11:23 +0000 2019,1101771974341263360,"These microgrids allow houses to share energy. They've already ""helped one Dutch village become 90% energy self-sufficient"" 

We have the solutions to the #climatecrisis. Let's implement them. #PanelsNotPipelines

#ActOnClimate #climate #energy #cdnpoli #NoTMX #IPCC #COP24 https://t.co/ERJpGmBZPU",0,0,365.0,583.0
Sat Mar 02 09:11:21 +0000 2019,1101771968863444994,"School strike week 28. In Hamburg with @Luisamneubauer 
#climatestrike #fridaysforfuture #schoolstrike4climate https://t.co/XhE3WtVS5D",0,0,969.0,4598.0
Sun Mar 03 04:58:58 +0000 2019,1102070840202391552,"Angela Merkel on school #climatestrike's in Germany: 
""I very much welcome that young people, school students, demonstrate and tell us to do something fast about climate change""  https://t.co/sTiDA58VJi",0,0,93.0,193.0
Sun Mar 03 04:58:57 +0000 2019,1102070838071779328,Watching the liberals quibble about climate change target while the forest burns is really something. Pull your finger out and do something. It’s time for real action. It’s past time for real action #climatechange #insiders #vicfires,0,0,4.0,12.0
Sun Mar 03 04:58:51 +0000 2019,1102070811211546624,"“We will not accept a life in fear and devastation. We have the right to live our dreams and hopes.”

Some school strikers have written an open letter.

#climatestrike #FridaysForFurture #schoolstrike4climate 
https://t.co/sf3uOLWQvR",0,0,3226.0,8443.0
