word	proposed_splitting	count_pre	count_post
environmentalism		14	2.0
talanoa4ambition	['talanoa', 'for', 'ambition']	16	
ethoslifestyle	['ethos', 'lifestyle']	6	10.0
planet		3	13.0
leadonclimate	['lead', 'on', 'climate']	4	11.0
farming		9	6.0
stepup2018	['step', 'up', '2018']	15	
coralreefs	['coral', 'reefs']	12	3.0
credlin		15	
leadership		8	7.0
architecture		7	8.0
glaciers		8	7.0
women		5	10.0
presidenttrump	['president', 'trump']	1	14.0
theboltreport	['the', 'bolt', 'report']	15	
germany		9	6.0
agw	['anthropogenic', 'global', 'warming']	9	6.0
schools4climate	['schools', 'for', 'climate']	14	
electricvehicles	['electric', 'vehicles']	12	2.0
beatairpollution	['beat', 'air', 'pollution']	1	13.0
longman		14	
jobs		7	7.0
dyk	['did', 'you', 'know']	4	10.0
oilandgas	['oil', 'and', 'gas']	5	9.0
scientists		8	6.0
token		14	
ev	['electric', 'vehicles']	6	8.0
transport		13	1.0
business		7	7.0
greencities	['green', 'cities']	14	
socialism		2	12.0
design		7	7.0
lnp	['liberal', 'national', 'party', 'of', 'queensland']	6	8.0
renewable		8	6.0
earthday2019	['earth', 'day', '2019']	14	
saturdaythoughts	['saturday', thoughts']	14	
global		10	4.0
forest		6	8.0
resilienceforall	['resilience', 'for', 'all']	9	5.0
climatecatastrophe	['climate', 'catastrophe']	14	
love		6	8.0
g7		10	3.0
capitalism		3	10.0
power		7	6.0
wednesdaywisdom	['wednesday', 'wisdom']	2	11.0
地球温暖化		13	
sendaiframework	['sendai', 'framework']	13	
iot	['internet', 'of', 'things']	6	7.0
wildfire		10	3.0
stillin	['still', 'in']	13	
climatescience	['climate', 'science']	7	6.0
government		5	8.0
impeachtrump	['impeach', 'trump']	4	9.0
youth		8	5.0
soil		5	8.0
fridayforfuture	['friday', 'for', 'future']	13	
pacific		4	9.0
gender		7	6.0
environmentalscience	['environmental', 'science']	12	
sydney		12	
rt	['retweet']	6	6.0
priceoncarbon	['price', 'on', 'carbon']	4	8.0
antarctic		10	2.0
cancer		6	6.0
polarbears	['polar', 'bears']	7	5.0
zerowaste	['zero', 'waste']	4	8.0
methane		9	3.0
wildfires		3	9.0
qanon		7	5.0
climateambition	['climate', 'ambition']	1	11.0
tcot	['top','conservative','on','twitter']	3	9.0
trendingstory	['trending', 'story']	12	
security		5	7.0
iwd2019	['international', 'women', 'day']	12	
disaster		5	7.0
airquality	['air', 'quality']	8	4.0
melbourne		12	
gas		5	7.0
uk		8	4.0
globalcooling	['global', 'cooling']	4	8.0
climatefinance	['climate', 'finance']	10	1.0
bbc		7	4.0
thursdaythoughts	['thursday', 'thoughts']	3	8.0
schoolstrikes	['school', 'strikes']	11	
votethemout	['vote', 'them', 'out']	5	6.0
greenbuilding	['green', 'building']	7	4.0
nigeria		3	8.0
globalhealth	['global', 'health']	7	4.0
development		7	4.0
divest		10	1.0
brazil		4	7.0
aoc	['alexandria', 'ocasio', 'cortez']	11	
euelections2019	['eu', 'elections', '2019']	11	
ableg	['alberta', 'legislature']	2	9.0
climatewednesday	['climate', 'wednesday']	11	
mozambique		11	
blog		3	8.0
hopeforreefs	['hope', 'for', 'reefs']	11	
policy		8	3.0
fish		8	3.0
factsmatter	['facts', 'matter']	4	7.0
earthhour	['earth', 'hour']	11	
smartdissent	['smart', 'dissent']	7	4.0
transportation		4	7.0
europe		4	7.0
worldpenguinday	['world', 'penguin', 'day']	11	
waterislife	['water', 'is', 'life']	9	2.0
breaking		10	1.0
bigoil	['big', 'oil']	6	5.0
tuesdaythoughts	['tuesday', 'thoughts']	2	9.0
heathrow		4	7.0
climateelection	['climate', 'election']	11	
droughts		6	5.0
springst		7	4.0
itstimetochange	['it','is', 'time', 'to', 'change']	5	6.0
electricity		7	4.0
savethereef	['save', 'the', 'reef']	11	
gnd	['green', 'new', 'deal']	11	
climatebarbie	['climate', 'barbie']	10	
warringahvotes	['warringah', 'votes']	10	
chemtrails		8	2.0
risk		7	3.0
bigdata	['big', 'data']	3	7.0
bernie2020	['bernie', '2020']	10	
carbonneutral	['carbon', 'neutral']	3	7.0
fridays4future	['fridays', 'for', 'future ]	10	
medium		10	
startups		5	5.0
wedonthavetime	['we', 'dont', 'have', 'time']	7	3.0
activism		6	4.0
compassion		10	
waste		5	5.0
5g		7	3.0
nhs		8	2.0
netzero		10	
nasa		7	3.0
coralnotcoal	['coral', 'not', 'coal']	7	3.0
machinelearning	['machine', 'learning']	8	2.0
awareness		5	5.0
floods		5	5.0
electriccars	['electric', 'cars']	8	2.0
cop23	['conference', 'of', 'the', 'parties']	10	
nzpol	['newzeland', 'politics']	2	8.0
fossilfree	['fossil', 'free']	8	2.0
fisheries		6	4.0
carbonfootprint	['carbon', 'footprint']	4	6.0
caribbean		7	3.0
smartcities	['smart', 'cities']	8	2.0
ecowarrior		8	2.0
wedonotconsent	['we', 'do', 'not', 'consent']	9	1.0
saturdaymorning	['saturday', 'morning']	6	3.0
finland		3	6.0
welcometrump	['welcome', 'trump']	9	
birds		3	6.0
childrenuprooted	['children', 'uprooted']	9	
foodinnovation	['food', 'innovation']	7	2.0
zerocarbonproject	['zero', 'carbon', 'project']	9	
noplanetb	['no', 'planet', 'b']	5	4.0
illegalaliens	['illegal', 'aliens']	1	8.0
qcpoli	['quebec', 'politics']	2	7.0
seaice	['sea', 'ice']	3	6.0
kooyongvotes	['kooyong', 'votes']	9	
